"BehaviorSpace results (NetLogo 6.3.0)"
"Beckage_wk10_butterflies_sol.nlogo"
"q to maximize neighbors"
"11/06/2023 22:59:44:243 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","149","0","149"
"[run number]","1","2","3","4","5","6","7","8","9","10","11"
"exportCorridorWidth?","false","false","false","false","false","false","false","false","false","false","false"
"ButterFliesAtOrigin?","false","false","false","false","false","false","false","false","false","false","false"
"ImportElevationData?","true","true","true","true","true","true","true","true","true","true","true"
"q","0","0.1","0.2","0.3","0.4","0.5","0.6","0.7","0.8","0.9","1"
"[steps]","999","999","999","999","999","999","999","999","999","999","999"

"[initial & final values]","mean-Neighbors","mean-Neighbors","mean-Neighbors","mean-Neighbors","mean-Neighbors","mean-Neighbors","mean-Neighbors","mean-Neighbors","mean-Neighbors","mean-Neighbors","mean-Neighbors"
,"0.272","1.144","3.936","9.524","14.804","17.82","14.812","14.348","12.568","12.412","7.336"
