"BehaviorSpace results (NetLogo 6.3.0)"
"Beckage_wk10_butterflies_sol.nlogo"
"q to maximize neighbors"
"11/06/2023 23:01:15:833 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","149","0","149"
"[run number]","1","2","3","4","5","6","7","8","9","10","11"
"exportCorridorWidth?","false","false","false","false","false","false","false","false","false","false","false"
"ButterFliesAtOrigin?","false","false","false","false","false","false","false","false","false","false","false"
"ImportElevationData?","true","true","true","true","true","true","true","true","true","true","true"
"q","0","0.1","0.2","0.3","0.4","0.5","0.6","0.7","0.8","0.9","1"
"[steps]","999","999","999","999","999","999","999","999","999","999","999"

"[initial & final values]","mean-Neighbors","mean-Neighbors","mean-Neighbors","mean-Neighbors","mean-Neighbors","mean-Neighbors","mean-Neighbors","mean-Neighbors","mean-Neighbors","mean-Neighbors","mean-Neighbors"
,"0.3","0.98","5.208","10.912","12.76","16.488","16.004","17.44","16.068","11.84","6.104"
