"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Beckage_Netlogo7_butterfliesObs_sol.nlogox"
"q to maximize neighbors"
"05/05/2026 09:42:15:571 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","149","0","149"
"[run number]","exportCorridorWidth?","ButterFliesAtOrigin?","ImportElevationData?","q","[step]","mean-Neighbors"
"153","false","false","true","0.15","999","2.568"
"149","false","false","true","0.14","999","2.08"
"155","false","false","true","0.15","999","2.532"
"154","false","false","true","0.15","999","2.712"
"156","false","false","true","0.15","999","3.06"
"158","false","false","true","0.15","999","2.208"
"157","false","false","true","0.15","999","2.976"
"159","false","false","true","0.15","999","2.972"
"160","false","false","true","0.15","999","2.196"
"164","false","false","true","0.16","999","2.824"
"162","false","false","true","0.16","999","3.064"
"161","false","false","true","0.16","999","2.28"
"166","false","false","true","0.16","999","3.008"
"163","false","false","true","0.16","999","2.964"
"167","false","false","true","0.16","999","3.072"
"165","false","false","true","0.16","999","2.836"
"168","false","false","true","0.16","999","2.732"
"169","false","false","true","0.16","999","3.316"
"170","false","false","true","0.16","999","2.748"
"172","false","false","true","0.17","999","3.264"
"171","false","false","true","0.17","999","3.752"
"173","false","false","true","0.17","999","3.136"
"174","false","false","true","0.17","999","3.528"
"176","false","false","true","0.17","999","3.292"
"175","false","false","true","0.17","999","4.28"
"177","false","false","true","0.17","999","3.152"
"178","false","false","true","0.17","999","2.628"
"180","false","false","true","0.17","999","3.196"
"181","false","false","true","0.18","999","3.536"
"179","false","false","true","0.17","999","3.364"
"183","false","false","true","0.18","999","3.06"
"185","false","false","true","0.18","999","3.62"
"182","false","false","true","0.18","999","3.944"
"187","false","false","true","0.18","999","3.792"
"186","false","false","true","0.18","999","3.744"
"184","false","false","true","0.18","999","3.52"
"188","false","false","true","0.18","999","4.344"
"190","false","false","true","0.18","999","3.728"
"189","false","false","true","0.18","999","3.596"
"192","false","false","true","0.19","999","5.748"
"191","false","false","true","0.19","999","4.088"
"194","false","false","true","0.19","999","4.252"
"195","false","false","true","0.19","999","4.956"
"197","false","false","true","0.19","999","3.9"
"193","false","false","true","0.19","999","4.852"
"198","false","false","true","0.19","999","3.996"
"196","false","false","true","0.19","999","4.692"
"199","false","false","true","0.19","999","3.532"
"200","false","false","true","0.19","999","4.572"
"203","false","false","true","0.2","999","4.744"
"201","false","false","true","0.2","999","3.924"
"202","false","false","true","0.2","999","4.764"
"205","false","false","true","0.2","999","4.256"
"204","false","false","true","0.2","999","4.94"
"206","false","false","true","0.2","999","4.712"
"207","false","false","true","0.2","999","3.756"
"209","false","false","true","0.2","999","4.532"
"210","false","false","true","0.2","999","6.008"
"211","false","false","true","0.21","999","4.792"
"208","false","false","true","0.2","999","4.984"
"213","false","false","true","0.21","999","4.252"
"212","false","false","true","0.21","999","5.24"
"216","false","false","true","0.21","999","5.296"
"214","false","false","true","0.21","999","6.3"
"217","false","false","true","0.21","999","5.24"
"215","false","false","true","0.21","999","5.46"
"218","false","false","true","0.21","999","5.496"
"219","false","false","true","0.21","999","5.468"
"220","false","false","true","0.21","999","7.188"
"221","false","false","true","0.22","999","5.34"
"222","false","false","true","0.22","999","5.972"
"224","false","false","true","0.22","999","6.04"
"223","false","false","true","0.22","999","5.388"
"226","false","false","true","0.22","999","5.48"
"227","false","false","true","0.22","999","7.032"
"225","false","false","true","0.22","999","6.04"
"230","false","false","true","0.22","999","5.628"
"228","false","false","true","0.22","999","5.136"
"229","false","false","true","0.22","999","5.412"
"231","false","false","true","0.23","999","6.712"
"232","false","false","true","0.23","999","6.636"
"233","false","false","true","0.23","999","6.152"
"234","false","false","true","0.23","999","6.008"
"235","false","false","true","0.23","999","5.76"
"237","false","false","true","0.23","999","5.916"
"236","false","false","true","0.23","999","5.048"
"238","false","false","true","0.23","999","6.616"
"240","false","false","true","0.23","999","5.5"
"239","false","false","true","0.23","999","6.148"
"241","false","false","true","0.24","999","6.716"
"243","false","false","true","0.24","999","5.692"
"242","false","false","true","0.24","999","6.864"
"244","false","false","true","0.24","999","6.9"
"245","false","false","true","0.24","999","7.996"
"247","false","false","true","0.24","999","6.988"
"246","false","false","true","0.24","999","6.04"
"248","false","false","true","0.24","999","7.164"
"250","false","false","true","0.24","999","5.56"
"251","false","false","true","0.25","999","6.34"
"254","false","false","true","0.25","999","7.044"
"252","false","false","true","0.25","999","7.984"
"249","false","false","true","0.24","999","6.876"
"253","false","false","true","0.25","999","6.236"
"256","false","false","true","0.25","999","6.864"
"255","false","false","true","0.25","999","7.544"
"258","false","false","true","0.25","999","6.82"
"260","false","false","true","0.25","999","7.16"
"257","false","false","true","0.25","999","5.968"
"259","false","false","true","0.25","999","7.36"
"262","false","false","true","0.26","999","7.856"
"261","false","false","true","0.26","999","6.032"
"263","false","false","true","0.26","999","7.108"
"267","false","false","true","0.26","999","8.208"
"264","false","false","true","0.26","999","8.524"
"266","false","false","true","0.26","999","7.572"
"265","false","false","true","0.26","999","6.868"
"268","false","false","true","0.26","999","8.648"
"269","false","false","true","0.26","999","8.652"
